sha256	kept	removed	bytes
96c60e23096c5f8fdb92f5433e46de956087ecab72ae0dc53b169a0cb5b93b3f	00_Inbox_Unsorted/00_Framework-and-Synthesis__part-05.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/00_Framework-and-Synthesis__part-05.md	78218
289b241ff57b46000f9bb6f03de112197fcba0c5e886fc2ed3d872730d029aa5	00_Inbox_Unsorted/compounds_by_framework.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/compounds_by_framework.md	22492
fd07f5673a138c0f0d1e275964aad6e54207baa69608fd7ff57f7bd06eed2ce4	00_Inbox_Unsorted/00_Framework-and-Synthesis__part-04.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/00_Framework-and-Synthesis__part-04.md	77738
19c18c1a4c2b6be105e192344c08c9d5989b4ca7345becbe3c3a6cf72f74fc99	00_Inbox_Unsorted/compounds_batched.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/compounds_batched.md	10848
a60b5ebc5bd63c73b6d028851df7a597cb0211695a6b45f16621c1c331dfd7a0	00_Inbox_Unsorted/00_Framework-and-Synthesis__part-06.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/00_Framework-and-Synthesis__part-06.md	78200
5db1e46777f8fa2057f43af764e4d14ccbfe194c327fc7857decbc8582b03be5	00_Inbox_Unsorted/compounds_extracted.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/compounds_extracted.md	9246
af712b46e8cf050a7f87fcf3ba1d024e9f7b652045c6070ada3a5d318a730826	00_Inbox_Unsorted/00_Framework-and-Synthesis__part-07.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/00_Framework-and-Synthesis__part-07.md	63076
e76edf3f0928f8c07a24fc9172dd7e249deb4a702f995f06c210a804dc6765f2	00_Inbox_Unsorted/Liber_Novus_Densley_Reordered_Source.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/Liber_Novus_Densley_Reordered_Source.md	167338
b19727b6bd0f6f9cec7b2b40c511e9979dfbcf97dffaa90d9556421406008c70	00_Inbox_Unsorted/final_banner_visual_qa.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Metadata/final_banner_visual_qa.md	1027
4e6a4c8ef158aadf7f0c0824e5a038e9f544c4d0f2dca3d83125883587394bac	00_Inbox_Unsorted/00_Framework-and-Synthesis__part-02.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/00_Framework-and-Synthesis__part-02.md	74947
e7f8fd08ef3a8cb8c245c44a64c41f3d85fd4da11e9971f71a7e900f8996c2a9	00_Inbox_Unsorted/Liber_Novus_Densley_First_and_Second_Compendia_Combined.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/Liber_Novus_Densley_First_and_Second_Compendia_Combined.md	36890
beb32e6784499ba19a2f74a21135534e7042cfb4b3a3637506abcb3be8d27346	00_Inbox_Unsorted/compass_artifact_wf-00ba4a0a-095d-42b9-a397-71b6bd4a2259_text_markdown.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/compass_artifact_wf-00ba4a0a-095d-42b9-a397-71b6bd4a2259_text_markdown.md	2972
825d4a45ce34b384994e2a968c36ec4d863ca4942b85b18f7d7e3e4b547806f0	00_Inbox_Unsorted/00_Framework-and-Synthesis__part-03.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/00_Framework-and-Synthesis__part-03.md	78409
96c2ff570da93eef20f4cee5501dc26552b40d16a2bab8b378448a0f9ea5dba8	00_Inbox_Unsorted/plants_of_power_and_plants_that_teach_dossier.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/plants_of_power_and_plants_that_teach_dossier.md	133881
40970ecfb34722ecc471ae8a4810ff64630656d4abcba0e67f8ea7dbb0cf9dcb	00_Inbox_Unsorted/compound_visual_index.md	30_Pharmacopoeia/_pharmacopoeia-vault/Source Documents/compound_visual_index.md	22322
a3ab5bc665eaeba688becf415778dbfd710794b325be59d091b567b04f99bf0a	30_Pharmacopoeia/_Trip_Reports/Brugmansia - Trip Reports.md	30_Pharmacopoeia/_pharmacopoeia-vault/Trip Reports/Brugmansia - Trip Reports.md	4153
bb6be690377be6ac6c5cb2fc92e5fdcbf0d63d9d0105e074a757514382b1f608	30_Pharmacopoeia/_Trip_Reports/Henbane - Trip Reports.md	30_Pharmacopoeia/_pharmacopoeia-vault/Trip Reports/Henbane - Trip Reports.md	3649
21bf117f40e6377a07175e00307f42335c2cd1844e9a8f29f5bf7bd056f19a26	30_Pharmacopoeia/_Trip_Reports/Nutmeg - Trip Reports.md	30_Pharmacopoeia/_pharmacopoeia-vault/Trip Reports/Nutmeg - Trip Reports.md	7395
